producto,fecha,CostesModelo,CostesEmpresa,Coste_Total_XGB,Coste_Total_STCK2,Coste_Total_XGB2
9,2019-11-29,825.0,1651.0,1931.0,1514.0,576.0
9,2019-11-30,231.0,2355.0,177.0,213.0,121.0
9,2019-12-02,475.0,1529.0,470.0,530.0,329.0
9,2019-12-03,200.0,1635.0,202.0,282.0,168.0
9,2019-12-04,621.0,4117.0,807.0,483.0,712.0
9,2019-12-05,327.0,3652.0,388.0,388.0,472.0
9,2019-12-07,322.0,1295.0,313.0,437.0,312.0
9,2019-12-09,548.0,645.0,376.0,411.0,401.0
9,2019-12-10,352.0,545.0,130.0,488.0,94.0
9,2019-12-11,219.0,1064.0,149.0,609.0,232.0
9,2019-12-12,390.0,1394.0,432.0,390.0,462.0
9,2019-12-13,817.0,602.0,517.0,1037.0,382.0
9,2019-12-14,280.0,1091.0,253.0,526.0,297.0
9,2019-12-16,351.0,931.0,453.0,716.0,545.0
9,2019-12-17,182.0,1187.0,316.0,290.0,282.0
9,2019-12-18,200.0,1716.0,109.0,430.0,176.0
9,2019-12-19,277.0,4658.0,309.0,269.0,307.0
9,2019-12-20,649.0,1282.0,489.0,490.0,249.0
9,2019-12-21,150.0,1716.0,156.0,309.0,163.0
9,2019-12-23,637.0,878.0,651.0,775.0,629.0
9,2019-12-24,214.0,764.0,90.0,378.0,85.0
9,2019-12-26,289.0,3025.0,218.0,219.0,318.0
9,2019-12-27,248.0,1024.0,212.0,218.0,303.0
9,2019-12-28,152.0,1879.0,135.0,101.0,199.0
9,2019-12-30,446.0,709.0,435.0,463.0,339.0
9,2020-01-02,336.0,1463.0,535.0,363.0,510.0
9,2020-01-03,324.0,1039.0,373.0,355.0,295.0
9,2020-01-04,151.0,1879.0,164.0,61.0,148.0
9,2020-01-07,287.0,981.0,160.0,266.0,118.0
9,2020-01-08,282.0,941.0,201.0,243.0,152.0
9,2020-01-09,376.0,1667.0,511.0,493.0,430.0
9,2020-01-10,281.0,590.0,278.0,319.0,334.0
9,2020-01-11,255.0,1799.0,282.0,323.0,292.0
9,2020-01-13,358.0,1037.0,364.0,389.0,403.0
9,2020-01-14,403.0,631.0,489.0,435.0,473.0
9,2020-01-15,116.0,927.0,110.0,87.0,102.0
9,2020-01-16,631.0,907.0,661.0,651.0,503.0
9,2020-01-17,192.0,737.0,238.0,264.0,414.0
9,2020-01-18,126.0,1879.0,98.0,66.0,91.0
9,2020-01-20,410.0,1013.0,425.0,396.0,423.0
9,2020-01-21,148.0,1199.0,136.0,171.0,144.0
9,2020-01-22,107.0,1254.0,115.0,99.0,95.0
9,2020-01-23,512.0,1572.0,442.0,473.0,446.0
9,2020-01-24,222.0,1256.0,230.0,219.0,334.0
9,2020-01-25,59.0,1552.0,76.0,52.0,180.0
9,2020-01-27,475.0,498.0,484.0,529.0,556.0
9,2020-01-28,156.0,860.0,126.0,132.0,172.0
9,2020-01-29,200.0,1513.0,173.0,294.0,191.0
10,2019-11-15,484.0,1923.0,456.0,414.0,398.0
10,2019-11-18,205.0,1650.0,184.0,260.0,204.0
10,2019-11-19,160.0,1574.0,191.0,157.0,205.0
10,2019-11-20,245.0,2176.0,285.0,230.0,233.0
10,2019-11-21,338.0,4319.0,396.0,489.0,418.0
10,2019-11-22,357.0,3807.0,351.0,392.0,388.0
10,2019-11-25,469.0,1797.0,526.0,457.0,547.0
10,2019-11-26,199.0,1482.0,204.0,208.0,219.0
10,2019-11-27,205.0,1945.0,248.0,218.0,243.0
10,2019-11-28,535.0,3444.0,463.0,438.0,676.0
10,2019-11-29,389.0,3310.0,395.0,413.0,528.0
10,2019-12-02,329.0,2207.0,332.0,325.0,345.0
10,2019-12-03,434.0,1498.0,443.0,488.0,431.0
10,2019-12-04,265.0,1865.0,238.0,231.0,249.0
10,2019-12-05,995.0,2711.0,1353.0,1303.0,1253.0
10,2019-12-09,223.0,1034.0,276.0,263.0,219.0
10,2019-12-10,278.0,441.0,238.0,247.0,217.0
10,2019-12-11,275.0,728.0,202.0,233.0,273.0
10,2019-12-12,533.0,787.0,541.0,674.0,550.0
10,2019-12-13,396.0,1214.0,375.0,500.0,407.0
10,2019-12-16,238.0,1469.0,257.0,145.0,286.0
10,2019-12-17,232.0,1548.0,270.0,248.0,285.0
10,2019-12-18,217.0,1521.0,232.0,214.0,274.0
10,2019-12-19,514.0,3463.0,501.0,565.0,497.0
10,2019-12-20,767.0,2901.0,801.0,697.0,749.0
10,2019-12-23,214.0,1730.0,193.0,213.0,165.0
10,2019-12-24,216.0,874.0,282.0,169.0,230.0
10,2019-12-26,633.0,2431.0,546.0,578.0,1042.0
10,2019-12-27,798.0,2125.0,762.0,801.0,662.0
10,2019-12-30,294.0,1488.0,314.0,309.0,355.0
10,2019-12-31,244.0,1304.0,232.0,293.0,271.0
10,2020-01-02,531.0,2293.0,375.0,405.0,398.0
10,2020-01-03,758.0,2582.0,1072.0,966.0,935.0
10,2020-01-07,430.0,520.0,487.0,510.0,498.0
10,2020-01-08,282.0,653.0,309.0,303.0,325.0
10,2020-01-09,612.0,1246.0,737.0,808.0,744.0
10,2020-01-10,722.0,1418.0,526.0,438.0,443.0
10,2020-01-13,142.0,1471.0,226.0,160.0,247.0
10,2020-01-14,124.0,708.0,281.0,161.0,325.0
10,2020-01-15,245.0,815.0,258.0,300.0,261.0
10,2020-01-16,330.0,1747.0,504.0,463.0,340.0
10,2020-01-17,337.0,1652.0,467.0,321.0,477.0
10,2020-01-20,282.0,2070.0,296.0,297.0,359.0
10,2020-01-21,269.0,1095.0,266.0,260.0,198.0
10,2020-01-22,255.0,790.0,249.0,264.0,252.0
10,2020-01-23,382.0,2193.0,375.0,381.0,373.0
10,2020-01-24,516.0,2832.0,528.0,536.0,538.0
10,2020-01-27,267.0,786.0,215.0,217.0,245.0
10,2020-01-28,205.0,835.0,274.0,244.0,210.0
10,2020-01-29,244.0,827.0,269.0,244.0,267.0
11,2019-11-15,2805.0,3262.0,3340.0,2936.0,3062.0
11,2019-11-16,489.0,1169.0,600.0,755.0,687.0
11,2019-11-18,729.0,1908.0,649.0,763.0,787.0
